
Course,Instructor,Length,Meet-block-policy,Meet-Instructor-Preference,Days,Start,End,Notes,
LING 200,Ferjan-Ramirez,50,y,y,M W F,0830,0920,,
LING 210,McGarrity,50,y,-,M W F,0930,1020,,
LING 233,Evans,50,y,y,M W F,0830,0920,,
LING 432/532,Wassink,110,y,y,M W,1330,1520,,
LING 433/533,Evans,110,y,y,M W,1230,1420,,
LING 441/541,Ferjan-Ramirez,110,y,n,M W,1330,1520,,
LING 450/550,Wassink,110,y,y,M W,1030,1220,,
LING 461,Hedding,110,y,y,M W,0830,1020,,
LING 478/578,Ogihara,110,y,y,M W,1030,1220,,
LING 507,Hedding,110,y,y,M W,1330,1520,,
LING 566,Bender,80,y,y,T R,1000,1120,,
LING 580-Cit,Citko,140,-,y,W,1530,1750,,
LING 580-Che,Cheng,140,-,y,T,1530,1750,,
LING 580-Ogi,Ogihara,140,-,y,W,1530,1750,,
LING 580-TBA,TBA,140,-,-,R,1530,1750,,
LING 599A,lingColloq,140,-,-,F,1530,1750,,
LING 599B,proseminar,50,y,-,M,1130,1220,,
LING 200AA,TA1,50,y,-,T R,1030,1120,,
LING 200AB,TA1,50,y,-,T R,0930,1020,,
LING 200AC,TA2,50,y,-,T R,1230,1320,,
LING 200AD,TA2,50,-,-,T R,1430,1520,,
LING 200AI,TA5,50,y,-,T R,1130,1220,,
LING 233AA,TA8,50,y,-,R,1330,1420,,
LING 233AD,TA8,50,-,-,R,1430,1520,,
LING 233AE,TA8,50,y,-,R,0930,1020,,
LING 233AF,TA9,50,y,-,R,1230,1320,,
LING 233AG,TA9,50,y,-,R,1030,1120,,
LING 233AH,TA9,50,y,-,R,1130,1220,,
LING 450AA,TA10,50,y,-,R,1230,1320,,
