
Course,Instructor,,,,Days,Start,End,Notes,
LING 200,Ferjan-Ramirez,,,,M W F,0830,0920,,
LING 210,McGarrity,,,,M W F,1430,1520,,
LING 233,Evans,,,,M W F,0830,0920,,
LING 432/532,Wassink,,,,M W,1300,1450,,
LING 433/533,Evans,,,,M W,1300,1450,,
LING 441/541,Ferjan-Ramirez,,,,M W,1030,1220,,
LING 450/550,Wassink,,,,M W,0830,1020,,
LING 461,Hedding,,,,T R,1300,1450,,
LING 478/578,Ogihara,,,,M W,1300,1450,,
LING 507,Hedding,,,,T R,1030,1220,,
LING 566,Bender,,,,T R,1000,1120,,
LING 580-Cit,Citko,,,,R,1530,1750,,
LING 580-Che,Cheng,,,,W,1530,1750,,
LING 599A,lingColloq,,,,F,1530,1750,,
LING 599B,proseminar,,,,F,0930,1020,,
LING 200AA,TA1,,,,T R,1130,1220,,
LING 200AB,TA1,,,,T R,1230,1320,,
LING 200AC,TA2,,,,T R,0930,1020,,
LING 200AD,TA2,,,,T R,1430,1520,,
LING 200AE,TA3,,,,T R,0930,1020,,
LING 200AF,TA3,,,,T R,1130,1220,,
LING 200AG,TA4,,,,T R,1230,1320,,
LING 200AH,TA4,,,,T R,1730,1820,,
LING 200AI,TA5,,,,T R,1030,1120,,
LING 233AA,TA8,,,,R,1130,1220,,
LING 233AD,TA8,,,,R,1230,1320,,
LING 233AE,TA8,,,,R,0930,1020,,
LING 233AF,TA9,,,,R,1030,1120,,
LING 233AG,TA9,,,,R,0830,0920,,
LING 233AH,TA9,,,,R,1330,1420,,
LING 580-Ogi,Ogihara,,,,W,1530,1750,,
